Date,Number of purchases,Value of purchases,Number of cash-out transactions,Value of cash-out transactions,Number of domestic transactions ,Value of domestic transactions ,Number of overseas transactions ,Value of overseas transactions ,Total number of transactions,Total value of transactions,Number of transactions acquired in Australia: own cards,Value of transactions acquired in Australia: own cards,Number of transactions acquired in Australia: other domestic cards,Value of transactions acquired in Australia: other domestic cards,Number of transactions acquired in Australia: device present,Value of transactions acquired in Australia: device present,Number of transactions acquired in Australia: device not present,Value of transactions acquired in Australia: device not present,Total number of transactions acquired in Australia,Total value of transactions acquired in Australia
31/05/1994,,,,,,,,,15.7,845.3,,,,,,,,,,
30/06/1994,,,,,,,,,16.0,863.0,,,,,,,,,,
31/07/1994,,,,,,,,,16.3,880.1,,,,,,,,,,
31/08/1994,,,,,,,,,16.7,904.9,,,,,,,,,,
30/09/1994,,,,,,,,,17.5,928.7,,,,,,,,,,
31/10/1994,,,,,,,,,18.0,961.7,,,,,,,,,,
30/11/1994,,,,,,,,,18.0,963.7,,,,,,,,,,
31/12/1994,,,,,,,,,17.5,979.6,,,,,,,,,,
31/01/1995,,,,,,,,,18.8,1028.2,,,,,,,,,,
28/02/1995,,,,,,,,,19.4,1052.3,,,,,,,,,,
31/03/1995,,,,,,,,,19.8,1073.0,,,,,,,,,,
30/04/1995,,,,,,,,,20.5,1117.5,,,,,,,,,,
31/05/1995,,,,,,,,,21.1,1137.7,,,,,,,,,,
30/06/1995,,,,,,,,,22.0,1182.2,,,,,,,,,,
31/07/1995,,,,,,,,,22.9,1239.1,,,,,,,,,,
31/08/1995,,,,,,,,,23.8,1284.0,,,,,,,,,,
30/09/1995,,,,,,,,,24.2,1312.8,,,,,,,,,,
31/10/1995,,,,,,,,,24.6,1308.4,,,,,,,,,,
30/11/1995,,,,,,,,,25.7,1373.4,,,,,,,,,,
31/12/1995,,,,,,,,,24.9,1380.8,,,,,,,,,,
31/01/1996,,,,,,,,,27.1,1453.1,,,,,,,,,,
29/02/1996,,,,,,,,,27.3,1449.3,,,,,,,,,,
31/03/1996,,,,,,,,,27.8,1475.7,,,,,,,,,,
30/04/1996,,,,,,,,,28.1,1490.9,,,,,,,,,,
31/05/1996,,,,,,,,,28.6,1518.5,,,,,,,,,,
30/06/1996,,,,,,,,,28.7,1533.5,,,,,,,,,,
31/07/1996,,,,,,,,,29.6,1583.7,,,,,,,,,,
31/08/1996,,,,,,,,,30.1,1546.2,,,,,,,,,,
30/09/1996,,,,,,,,,30.0,1597.8,,,,,,,,,,
31/10/1996,,,,,,,,,30.9,1646.0,,,,,,,,,,
30/11/1996,,,,,,,,,31.5,1685.5,,,,,,,,,,
31/12/1996,,,,,,,,,32.5,1764.3,,,,,,,,,,
31/01/1997,,,,,,,,,33.7,1783.8,,,,,,,,,,
28/02/1997,,,,,,,,,34.4,1825.2,,,,,,,,,,
31/03/1997,,,,,,,,,34.5,1841.5,,,,,,,,,,
30/04/1997,,,,,,,,,35.6,1901.3,,,,,,,,,,
31/05/1997,,,,,,,,,36.0,1937.0,,,,,,,,,,
30/06/1997,,,,,,,,,37.0,1982.1,,,,,,,,,,
31/07/1997,,,,,,,,,36.8,1983.6,,,,,,,,,,
31/08/1997,,,,,,,,,36.9,2018.2,,,,,,,,,,
30/09/1997,,,,,,,,,38.0,2066.2,,,,,,,,,,
31/10/1997,,,,,,,,,37.9,2063.5,,,,,,,,,,
30/11/1997,,,,,,,,,38.2,2106.6,,,,,,,,,,
31/12/1997,,,,,,,,,38.8,2139.1,,,,,,,,,,
31/01/1998,,,,,,,,,39.3,2180.5,,,,,,,,,,
28/02/1998,,,,,,,,,39.8,2204.5,,,,,,,,,,
31/03/1998,,,,,,,,,40.8,2296.8,,,,,,,,,,
30/04/1998,,,,,,,,,40.8,2326.9,,,,,,,,,,
31/05/1998,,,,,,,,,41.1,2353.1,,,,,,,,,,
30/06/1998,,,,,,,,,41.4,2386.6,,,,,,,,,,
31/07/1998,,,,,,,,,42.6,2440.5,,,,,,,,,,
31/08/1998,,,,,,,,,42.8,2484.1,,,,,,,,,,
30/09/1998,,,,,,,,,43.0,2496.1,,,,,,,,,,
31/10/1998,,,,,,,,,43.9,2560.6,,,,,,,,,,
30/11/1998,,,,,,,,,43.9,2555.6,,,,,,,,,,
31/12/1998,,,,,,,,,42.6,2509.4,,,,,,,,,,
31/01/1999,,,,,,,,,43.9,2593.7,,,,,,,,,,
28/02/1999,,,,,,,,,43.8,2628.5,,,,,,,,,,
31/03/1999,,,,,,,,,44.1,2577.2,,,,,,,,,,
30/04/1999,,,,,,,,,42.9,2488.0,,,,,,,,,,
31/05/1999,,,,,,,,,45.2,2602.0,,,,,,,,,,
30/06/1999,,,,,,,,,45.4,2629.7,,,,,,,,,,
31/07/1999,,,,,,,,,46.2,2665.5,,,,,,,,,,
31/08/1999,,,,,,,,,45.3,2661.4,,,,,,,,,,
30/09/1999,,,,,,,,,44.7,2642.0,,,,,,,,,,
31/10/1999,,,,,,,,,45.7,2680.7,,,,,,,,,,
30/11/1999,,,,,,,,,46.1,2698.4,,,,,,,,,,
31/12/1999,,,,,,,,,46.2,2719.6,,,,,,,,,,
31/01/2000,,,,,,,,,45.1,2656.8,,,,,,,,,,
29/02/2000,,,,,,,,,46.6,2742.1,,,,,,,,,,
31/03/2000,,,,,,,,,47.3,2755.1,,,,,,,,,,
30/04/2000,,,,,,,,,48.7,2806.2,,,,,,,,,,
31/05/2000,,,,,,,,,48.0,2848.0,,,,,,,,,,
30/06/2000,,,,,,,,,50.0,3022.9,,,,,,,,,,
31/07/2000,,,,,,,,,50.3,2927.3,,,,,,,,,,
31/08/2000,,,,,,,,,51.2,2932.1,,,,,,,,,,
30/09/2000,,,,,,,,,52.2,2993.0,,,,,,,,,,
31/10/2000,,,,,,,,,51.8,2957.4,,,,,,,,,,
30/11/2000,,,,,,,,,52.1,3005.5,,,,,,,,,,
31/12/2000,,,,,,,,,53.0,3059.6,,,,,,,,,,
31/01/2001,,,,,,,,,52.4,3032.2,,,,,,,,,,
28/02/2001,,,,,,,,,52.9,3073.0,,,,,,,,,,
31/03/2001,,,,,,,,,53.2,3163.4,,,,,,,,,,
30/04/2001,,,,,,,,,52.9,3138.2,,,,,,,,,,
31/05/2001,,,,,,,,,53.4,3204.8,,,,,,,,,,
30/06/2001,,,,,,,,,53.3,3167.3,,,,,,,,,,
31/07/2001,,,,,,,,,53.2,3163.6,,,,,,,,,,
31/08/2001,,,,,,,,,53.8,3224.2,,,,,,,,,,
30/09/2001,,,,,,,,,54.6,3270.0,,,,,,,,,,
31/10/2001,,,,,,,,,54.3,3282.3,,,,,,,,,,
30/11/2001,,,,,,,,,55.0,3307.9,,,,,,,,,,
31/12/2001,,,,,,,,,54.7,3258.3,,,,,,,,,,
31/01/2002,,,,,,,,,74.0,4802.1,,,,,,,,,,
28/02/2002,,,,,,,,,74.5,4799.8,,,,,,,,,,
31/03/2002,,,,,,,,,75.6,4925.1,,,,,,,,,,
30/04/2002,,,,,,,,,75.2,4847.3,,,,,,,,,,
31/05/2002,,,,,,,,,76.6,4985.4,,,,,,,,,,
30/06/2002,,,,,,,,,76.6,5037.5,,,,,,,,,,
31/07/2002,,,,,,,,,75.1,4941.9,,,,,,,,,,
31/08/2002,76.2,4199.0,15.7,917.1,77.5,5088.2,0.3,33.2,77.8,5129.7,,,,,,,,,,
30/09/2002,75.8,4172.7,15.6,907.2,77.1,5047.8,0.3,31.6,77.7,5087.4,,,,,,,,,,
31/10/2002,77.5,4288.4,15.7,914.3,78.7,5168.3,0.3,34.6,78.7,5200.8,,,,,,,,,,
30/11/2002,78.7,4449.3,15.9,922.8,79.9,5314.3,0.4,41.9,80.3,5355.8,,,,,,,,,,
31/12/2002,78.8,4463.4,16.0,935.9,80.0,5353.9,0.4,41.6,80.2,5376.7,,,,,,,,,,
31/01/2003,79.6,4509.4,16.0,937.9,80.8,5407.1,0.4,38.8,80.9,5414.9,,,,,,,,,,
28/02/2003,79.9,4544.2,15.8,923.0,81.0,5433.1,0.4,42.1,81.3,5467.1,,,,,,,,,,
31/03/2003,80.3,4562.2,15.8,911.7,81.4,5448.3,0.4,41.3,81.7,5480.6,,,,,,,,,,
