Title,Household consumption,Year-ended household consumption growth,Dwelling investment,Year-ended dwelling investment growth,Business investment,Year-ended business investment growth,Public demand,Year-ended public demand growth,Domestic final demand,Year-ended domestic final demand growth,Changes in inventories,Changes in inventories contribution to GDP year-ended growth,Gross national expenditure,Year-ended gross national expenditure growth,Household consumption share of output,Dwelling investment share of output,Business investment share of output,Public demand share of output,Private non-financial corporations GOS share of output,Real household disposable income,Year-ended real household disposable income growth,Household saving ratio
Sep-59,34596,,3757,,,,,,55993,,,,60302,,57.9,4.3,17.5,18.5,14.1,46373,,15.5
Dec-59,35549,,3756,,,,,,56303,,,,59333,,57.8,4.3,18,18.3,14.4,47545,,14.2
Mar-60,35890,,3933,,,,,,56807,,,,61096,,58.1,4.4,19,18.5,14.7,46735,,13.3
Jun-60,36344,,4053,,,,,,57252,,,,65488,,56.9,4.4,18.6,17.8,13.9,48014,,15
Sep-60,36810,6.4,4335,15.4,,,,,57857,3.3,,,64649,7.2,57.7,4.7,18.8,17,14.8,47768,3,12.7
Dec-60,36521,2.7,4305,14.6,,,,,58720,4.3,,,64808,9.2,57.7,4.7,18.5,18,14,48057,1.1,14.1
Mar-61,36047,0.4,4021,2.2,,,,,58613,3.2,,,64967,6.3,57.5,4.4,17.7,18.6,12.6,48900,4.6,16.4
Jun-61,36153,-0.5,3835,-5.4,,,,,58940,2.9,,,61969,-5.4,58.9,4.3,18,19.6,12.5,48400,0.8,15.2
Sep-61,36385,-1.2,3498,-19.3,,,,,59734,3.2,,,61879,-4.3,59.2,3.9,17.6,21.6,12.6,48171,0.8,14.5
Dec-61,36629,0.3,3477,-19.2,,,,,58937,0.4,,,61252,-5.5,59.1,3.8,17.1,20.5,13.8,47592,-1,14.2
Mar-62,37841,5,3593,-10.6,,,,,60510,3.2,,,63838,-1.7,58.9,3.8,17.3,19.9,14.9,49300,0.8,13.9
Jun-62,38326,6,3793,-1.1,,,,,60661,2.9,,,65459,5.6,58.9,3.9,17.1,19,14.9,50239,3.8,15.1
Sep-62,38627,6.2,3907,11.7,,,,,61866,3.6,,,67237,8.7,58.8,4,17.4,19.3,14.6,50521,4.9,14.7
Dec-62,38974,6.4,4041,16.2,,,,,62389,5.9,,,67687,10.5,58.1,4.1,17.1,19,14.5,51310,7.8,14.6
Mar-63,39699,4.9,4120,14.7,,,,,64212,6.1,,,69450,8.8,57.5,4,17.6,19,15.1,52085,5.6,14.3
