Date,%Change,%Interest Rate
2-Aug-90,-1,14
15-Oct-90,-1,13
18-Dec-90,-1,12
4-Apr-91,-0.5,11.5
16-May-91,-1,10.5
3-Sep-91,-1,9.5
6-Nov-91,-1,8.5
8-Jan-92,-1,7.5
6-May-92,-1,6.5
8-Jul-92,-0.75,5.75
23-Mar-93,-0.5,5.25
30-Jul-93,-0.5,4.75
17-Aug-94,0.75,5.5
24-Oct-94,1,6.5
14-Dec-94,1,7.5
31-Jul-96,-0.5,7
6-Nov-96,-0.5,6.5
11-Dec-96,-0.5,6
23-May-97,-0.5,5.5
30-Jul-97,-0.5,5
2-Dec-98,-0.25,4.75
3-Nov-99,0.25,5
2-Feb-00,0.5,5.5
5-Apr-00,0.25,5.75
3-May-00,0.25,6
2-Aug-00,0.25,6.25
7-Feb-01,-0.5,5.75
7-Mar-01,-0.25,5.5
4-Apr-01,-0.5,5
5-Sep-01,-0.25,4.75
3-Oct-01,-0.25,4.5
5-Dec-01,-0.25,4.25
8-May-02,0.25,4.5
5-Jun-02,0.25,4.75
5-Nov-03,0.25,5
3-Dec-03,0.25,5.25
2-Mar-05,0.25,5.5
3-May-06,0.25,5.75
2-Aug-06,0.25,6
8-Nov-06,0.25,6.25
8-Aug-07,0.25,6.5
7-Nov-07,0.25,6.75
6-Feb-08,0.25,7
5-Mar-08,0.25,7.25
3-Sep-08,-0.25,7
8-Oct-08,-1,6
5-Nov-08,-0.75,5.25
3-Dec-08,-1,4.25
4-Feb-09,-1,3.25
8-Apr-09,-0.25,3
7-Oct-09,0.25,3.25
4-Nov-09,0.25,3.5
2-Dec-09,0.25,3.75
3-Mar-10,0.25,4
7-Apr-10,0.25,4.25
5-May-10,0.25,4.5
3-Nov-10,0.25,4.75
2-Nov-11,-0.25,4.5
7-Dec-11,-0.25,4.25
2-May-12,-0.5,3.75
6-Jun-12,-0.25,3.5
3-Oct-12,-0.25,3.25
5-Dec-12,-0.25,3
8-May-13,-0.25,2.75
7-Aug-13,-0.25,2.5
4-Feb-15,-0.25,2.25
6-May-15,-0.25,2
4-May-16,-0.25,1.75
3-Aug-16,-0.25,1.5
5-Jun-19,-0.25,1.25
3-Jul-19,-0.25,1
2-Oct-19,-0.25,0.75
4-Mar-20,-0.25,0.5
20-Mar-20,-0.25,0.25
4-Nov-20,-0.15,0.1
4-May-22,0.25,0.35
8-Jun-22,0.5,0.85
6-Jul-22,0.5,1.35
3-Aug-22,0.5,1.85
7-Sep-22,0.5,2.35
5-Oct-22,0.25,2.6
2-Nov-22,0.25,2.85
7-Dec-22,0.25,3.1
8-Feb-23,0.25,3.35
8-Mar-23,0.25,3.6
3-May-23,0.25,3.85
7-Jun-23,0.25,4.1
8-Nov-23,0.25,4.35
